case,comparison,max_abs_difference_db,max_abs_difference_microdb,mean_difference_microdb,rmse_difference_microdb
OMNI,colab-local,1.1501910535116622e-13,1.1501910535116622e-07,-4.031219802413943e-09,4.952357256000008e-08
OMNI,cluster-local,1.6661998891720486e-08,0.016661998891720486,-0.00023244028646285386,0.006726619274716462
CARDIOID,colab-local,2.492447510604734e-07,0.2492447510604734,0.013092828732297335,0.05574539461422319
CARDIOID,cluster-local,2.768635658512153e-07,0.2768635658512153,-0.05960572843299872,0.12110374179277453
CF2,colab-local,2.2873016973790072e-06,2.2873016973790072,0.6854941353395816,0.9244266787347049
CF2,cluster-local,2.6981044785046038e-06,2.6981044785046038,-0.990398709959095,1.2040585759732374
